"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Brock Bowers","TE","LV","8.8","14.3","5.6","4.1","19.7","11.6","14.3","8.3","13","BYE","24.8","5.8","25.2","6.7","5","15.4","11.1","13","12.2","206.7"
"2","George Kittle","TE","SF","6","17.1","-","12.5","16.4","20.3","12.2","21.8","BYE","13.2","-","17.2","1.2","18.1","8.1","14.6","15.2","3.7","13.2","197.6"
"3","Trey McBride","TE","ARI","5.5","15.7","4","-","8.3","13.6","7.6","16.9","11.2","9.1","BYE","19.3","15.6","10.5","13.2","3.5","24.3","16","12.1","194.3"
"4","Jonnu Smith","TE","MIA","1.2","8.3","2.8","0","8.6","BYE","19.1","4","7.1","6","25.1","19.2","16.3","11.9","15.3","9.2","10.1","14.1","10.5","178.3"
"5","Mark Andrews","TE","BAL","2.4","7.1","0","0","7.5","14.1","18.1","12.1","3.6","15.8","3.2","13.1","15.9","BYE","9.4","11.8","13.8","13.4","9.5","161.3"
"6","Travis Kelce","TE","KC","4.9","1.1","5","12.4","11.5","BYE","3.7","20","15","16.4","1.8","9.2","10.3","7","4.7","5.5","18.4","-","9.2","146.9"
"7","Sam LaPorta","TE","DET","6.5","2.3","4.6","7.3","BYE","11.7","3","13.8","3.8","14.1","-","3.4","14.1","7.9","14.6","12.3","15.4","9.8","9","144.6"
"8","Zach Ertz","TE","WAS","4.3","8.2","6.3","5.7","2","8.8","12","11.2","1","5.1","15.7","12.8","11","BYE","3.5","1.7","22.2","12.9","8.5","144.4"
"9","Tucker Kraft","TE","GB","4.7","2.6","3.4","14.3","22.8","2.5","10.8","15.3","5.6","BYE","0","9.6","10.8","11.6","4.4","8","6.3","5.6","8.1","138.3"
"10","Pat Freiermuth","TE","PIT","4.7","5.9","5.3","14.2","7.7","2.6","6.1","2.9","BYE","9.2","2.4","7.9","15.8","12.3","9.7","3.1","7.5","18.5","8","135.8"
"11","David Njoku","TE","CLE","6.4","-","-","-","1.9","5.6","18.6","14.6","5.4","BYE","14.6","3.4","21.7","13.7","-","10.6","-","-","10.6","116.5"
"12","Hunter Henry","TE","NE","2.8","14.9","1.9","2.2","4.2","11.6","13.2","7","9.1","1.9","9.3","6.9","11","BYE","4.5","11.9","0","-","7","112.4"
